,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
101,Uzbekistan,229628,832,1586,2,212649,466,15393,23,6705,46,1377915,40237,34245235,Asia,149,21592,25,24,0,449
102,Réunion,226005,,531,,165236,,60238,60,249581,586,1424291,1572865,905539,Africa,4,1705,1,,,66522
103,Mozambique,224347,8,2183,,217367,255,4797,13,6870,67,1237100,37884,32654953,Africa,146,14959,26,0,,147
104,Montenegro,223774,312,2610,9,216856,474,4308,60,356219,4155,1130385,1799423,628193,Europe,3,241,1,497,14,6858
105,Kyrgyzstan,199519,83,2905,3,191089,380,5525,131,29795,434,1907195,284810,6696379,Asia,34,2305,4,12,0,825
106,Luxembourg,168988,3030,964,6,141811,8076,26213,11,263111,1501,4012515,6247406,642269,Europe,4,666,0,4718,9,40813
107,Afghanistan,166924,637,7442,8,147079,103,12403,1124,4139,185,866733,21491,40330119,Asia,242,5419,47,16,0,308
108,Uganda,162308,35,3561,4,99439,27,59308,108,3378,74,2380897,49551,48049097,Africa,296,13493,20,0,0,1234
109,Ghana,157751,210,1419,7,155322,384,1010,3,4913,44,2264272,70516,32110145,Africa,204,22629,14,7,0,31
110,Namibia,156444,73,3980,,148048,,4416,8,59837,1522,929697,355592,2614504,Africa,17,657,3,28,,1689
111,Maldives,151913,1576,284,1,134841,1969,16788,25,273337,511,2103706,3785196,555772,Asia,4,1957,0,2836,2,30207
112,Laos,136720,282,574,5,7660,,128486,,18365,77,980587,131720,7444466,Asia,54,12969,8,38,0,17259
113,El Salvador,135109,,3942,,120327,,10840,56,20663,603,1627890,248966,6538592,North America,48,1659,4,,,1658
114,Rwanda,129157,16,1447,1,45522,,82188,3,9592,107,4579815,340115,13465486,Africa,104,9306,3,1,0,6104
115,Jamaica,126222,229,2698,4,71623,184,51901,25,42330,905,810793,271909,2981856,North America,24,1105,4,77,1,17406
116,Cambodia,121881,108,3015,,118212,90,654,,7132,176,2808095,164320,17089163,Asia,140,5668,6,6,,38
117,Cameroon,117676,958,1907,27,106050,,9719,13,4263,69,1751774,63465,27602203,Africa,235,14474,16,35,1,352
